Name,Interests,Department
Nicholas J. Mills,environmental science~pest management~microbial biology~biological control of insect pests~ecology of insect parasitism~natural enemy biology~Cydia pomonella~Hyalopterus pruni~parasitoids~griculture,"Environmental Science, Policy &amp; Management"
Nicholas Jewell,AIDS~statistics~epidemiology~infectious diseases~Ebola Virus Disease~SARS~H1N1 influenza~adverse cardiovascular effects of pharmaceuticals~counting civilian casualties during conflicts,Department of Statistics~School of Public Health
Nicholas Mathew,Beethoven~Haydn~music in Vienna~music and politics~music and urban culture~aesthetics~piano performance~historical performance practices,Department of Music
Nicholas Paige,cinema (French New Wave)~17th- and 18th-century French literature and culture~history and theory of the novel~quantitative literary history and digital humanities~aesthetics and image theory~subjectivity and autobiography,Department of French
Nicholas Sitar,geotechnical earthquake engineering~wireless sensors~seismic slope stability~seismic earth pressure~rock erosion~groundwater remediation,Department of Civil and Environmental Engineering
Nicholas Swanson-Hysell,geology~stratigraphy~paleomagnetism~paleogeography,Department of Earth and Planetary Science
Nicholas de Monchaux,architecture~urban design and organization~natural and manmade systems,Department of Architecture
Nicolai Reshetikhin,mathematics~representation theory~mathematical physics~low-dimensional topology,Department of Mathematics
Nicolas Tackett,ethnicity~elites~China~cities~national identity~social networks~medieval history~death ritual~Tang Dynasty~Song Dynasty~Liao Dynasty,Department of History
Nicole Bastian Johnson,divisional performance measurement~management incentives~transfer pricing,Haas School of Business
Nicole King,genetics~developmental biology~biology~choanoflagellates~multicellularity~evolution of animals~comparative genomics~eukaryotes~host-microbe interactions~bacterial signals,Department of Molecular &amp; Cell Biology
Niek Veldhuis,digital humanities~intellectual history~Sumerian~cuneiform,Department of Near Eastern Studies
Nikki Jones,African American communities~policing~racial/gender disparities and the criminal justice system~violence and violence interventions,Department of African American Studies
Niklaus Largier,religion~literature~German~history of medieval and early modern German literature~theology~mysticism~secularism~senses~sensuality~history of emotions~passions~asceticism~flagellation~sexuality,Department of Comparative Literature~Department of German
Nikolaos Papazarkadas,Greek epigraphy~Greek history,Department of Classics
Nilabh Shastri,cancer cells~mechanims of immunesurveillance~microbial pathogens~antigen genes~autoimmunity,Department of Molecular &amp; Cell Biology
Nils Hakansson,dynamic portfolio strategies~welfare economics of financial markets~economics of information disclosure regulation~productive efficiency~financial reporting,Haas School of Business
Nina Maggi Kelly,remote sensing~wetlands~ecosystem sciences~forests~geoinformatics~participatory web~GIS,"Environmental Science, Policy &amp; Management"
Ninik Lunde,linguistics~comparative literature~South and Southeast Asian studies~Indonesian language~Javanese~Balinese and Sumatranese dances,Department of South and Southeast Asian Studies
Nipam Patel,genetics~evolution~crustaceans~insects~arthropods~homeotic (Hox) genes~segmentation~embryonic pattern formation~neural patterning,Department of Integrative Biology~Department of Molecular &amp; Cell Biology
Nir Yosef,computational biology,College of Engineering
Nitash P. Balsara,chemical engineering~synthesis and characterization of soft microstructured polymer materials~nucleation~neutron scattering~depolarized light scattering,Department of Chemical Engineering
Noel Nellis,real estate industry programs~realty joint ventures~leasing transactions~legal aspects of investments in real estate~pension funds foreign investors~REITs,Haas School of Business
Norman A. Constantine,adolescent sexual health~adolescent health behavior~adolescent health policy~sexuality education~research bias~motivated reasoning~policy use and misuse of research evidence~measurement and research design,School of Public Health
Norman Abrahamson,civil and environmental engineering~earthquake ground motions~spectral attenuation relations,Department of Civil and Environmental Engineering
Norman E. Phillips,materials~solid state chemistry~low-temperature specific heat measurements~microscopic theories~models for condensed matter~macroscopic properties~microscopic structures~measurements on nanoparticles~carbon nanotubes,Department of Chemistry
Norman Miller,hydroclimate modeling and assimilation and analysis~climate change impacts to sociology-economic and ecological sectors,Department of Geography
Norman Terry,Phytoremediation~Bioremediation~environmental cleanup~soil and water~plant biology~microbial biology,Department of Plant and Microbial Biology
Noureddine El Karoui,applied statistics~theory and applications of random matrices~large dimensional covariance estimation and properties of covariance matrices~connections with mathematical finance,Department of Statistics
Ole Hald,mathematics~numerical analysis,Department of Mathematics
Olga Holtz,numerical analysis~matrix and operator theory~approximation theory~wavelets and splines~orthogonal polynomials and special functions~analysis of algorithms and computational complexity,Department of Mathematics
Olga Matich,Slavic languages and literatures~Russian symbolism and post-Stalin literature~women in Russian literature~Zinaida Gippius~Russian emigre literature~conceptualization of love in Russian culture~theory and practice of private life,Department of Slavic Languages and Literatures
Olga Raevsky Hughes,Slavic languages and literatures~literature and culture of the 20th century~Pasternak~Tsvetaeva~Remizov~autobiographical prose~history and literature of Russian emigration~Russian literary developments and cultural life of the early 20th century.,Department of Slavic Languages and Literatures
Oliver E. Williamson,economics~corporations,Department of Economics~Haas School of Business
Oliver John,research methods~personality~measurement~emotion regulation~personality structure~personality development~traits~Big Five model~individual differences~emotion expression~self-concept~accuracy~bias~self-knowledge~personality assessment,Department of Psychology
Oliver O&#039;Reilly,continuum mechanics~vibrations~dynamics,Department of Mechanical Engineering
Omer Savas,fluid mechanics,Department of Mechanical Engineering
Ori Ganor,physics~string theory~-theory~F-theory~matrix-models~noncommutative geometry~six-dimensional theories and their large N limit~supersymmetric field theories~coupled quantum systems~nonperturbative and strong-coupling~nonlocal behavior~space,Department of Physics
Oscar Dubon,magnetic~optical materials~processing~properties in electronic,Department of Materials Science and Engineering
Ozlem Ayduk,violence~developmental psychology~psychology~depression~self-control~emotion regulation~social-cognition in interpersonal relationships,Department of Psychology
P. David Pearson,language~culture~society~education~literacy~early literacy education~reading assessment,Graduate School of Education
